sec,EEG,alpha,beta,delta,theta
3.2,4.07104,1.20111,0.313334,3.11349,-0.537114
3.205,4.00391,1.09506,0.261337,3.01394,-0.571682
3.21,3.71704,0.843963,0.25621,2.91304,-0.578128
3.215,3.41797,0.484874,0.306912,2.81107,-0.55709
3.22,3.05176,0.0689179,0.338722,2.70833,-0.510543
3.225,2.70996,-0.346148,0.24379,2.60513,-0.441521
3.23,2.31323,-0.703976,-0.0355287,2.50177,-0.353964
3.235,1.69067,-0.95719,-0.444399,2.3986,-0.252553
3.24,0.98877,-1.07357,-0.820933,2.29595,-0.142406
3.245,1.05591,-1.04011,-0.971465,2.19414,-0.0288586
3.25,1.81274,-0.864414,-0.776431,2.0935,0.0827432
3.255,2.85645,-0.573153,-0.265978,1.99434,0.187297
3.26,3.92456,-0.207978,0.378217,1.897,0.280246
3.265,4.41284,0.180614,0.901364,1.80177,0.357716
3.27,4.76074,0.540326,1.09415,1.70894,0.416713
3.275,5.2124,0.824178,0.891026,1.6188,0.455164
3.28,4.84009,0.996576,0.398672,1.53163,0.471923
3.285,3.8208,1.03761,-0.160502,1.44767,0.466951
3.29,2.69165,0.94534,-0.560075,1.36714,0.441316
3.295,1.99585,0.735547,-0.676259,1.29023,0.397041
3.3,1.75171,0.438766,-0.533876,1.21711,0.337005
3.305,1.25732,0.0953777,-0.269171,1.14791,0.26477
3.31,0.793457,-0.250273,-0.0392868,1.08275,0.184482
3.315,0.531006,-0.555722,0.0658954,1.02166,0.100493
3.32,0.0854492,-0.785718,0.0576309,0.964678,0.0171142
3.325,-0.500488,-0.916542,0.0152922,0.911792,-0.061325
3.33,-0.427246,-0.938477,0.0158615,0.862955,-0.130802
3.335,-0.0793457,-0.856076,0.0789294,0.818074,-0.187833
3.34,0.10376,-0.68637,0.164103,0.77702,-0.229752
3.345,0.0671387,-0.455459,0.214444,0.739628,-0.254794
3.35,0.384521,-0.194389,0.20621,0.705691,-0.26208
3.355,0.769043,0.0652401,0.162477,0.674963,-0.251737
3.36,0.848389,0.29551,0.121613,0.647158,-0.224866
3.365,0.65918,0.475419,0.0905634,0.621939,-0.183451
3.37,0.488281,0.592761,0.0298765,0.59893,-0.130359
3.375,0.524902,0.64456,-0.109567,0.577732,-0.0690285
3.38,0.524902,0.63603,-0.32326,0.557923,-0.00340773
3.385,0.0427246,0.578443,-0.519565,0.53905,0.0622526
3.39,-0.311279,0.486523,-0.55736,0.520624,0.12363
3.395,-0.10376,0.375568,-0.340572,0.502121,0.176585
3.4,0.189209,0.258927,0.0916872,0.482994,0.217324
3.405,0.408936,0.146157,0.554424,0.462678,0.242565
3.41,0.775146,0.0422096,0.807218,0.440591,0.249777
3.415,0.531006,-0.052033,0.697848,0.416145,0.237309
3.42,-0.20752,-0.138428,0.26532,0.388749,0.204581
3.425,-1.06201,-0.220114,-0.271048,0.357795,0.152071
3.43,-1.7334,-0.299566,-0.636828,0.32267,0.0812767
3.435,-1.86768,-0.376832,-0.662196,0.282769,-0.00529697
3.44,-1.76392,-0.448654,-0.373843,0.237505,-0.104216
3.445,-1.60522,-0.508239,0.0386468,0.186317,-0.211138
3.45,-1.40381,-0.545993,0.351262,0.128663,-0.321015
3.455,-1.41602,-0.551187,0.438718,0.0640174,-0.428466
3.46,-1.48315,-0.514188,0.325517,-0.00812119,-0.528041
3.465,-1.50757,-0.428806,0.133742,-0.0882221,-0.614377
3.47,-1.62964,-0.294212,-0.021858,-0.176725,-0.682355
3.475,-1.32446,-0.11618,-0.107499,-0.274023,-0.727377
3.48,-0.860596,0.0926724,-0.16344,-0.380462,-0.745697
3.485,-0.579834,0.313612,-0.234763,-0.496342,-0.734508
3.49,-0.305176,0.523537,-0.306117,-0.621922,-0.692126
3.495,-0.20752,0.697946,-0.301188,-0.757407,-0.618179
3.5,-0.00610352,0.814335,-0.148979,-0.902939,-0.513631
3.505,0.396729,0.855425,0.138115,-1.05861,-0.380725
3.51,0.958252,0.811901,0.441198,-1.22445,-0.222849
3.515,1.09253,0.684442,0.595572,-1.40045,-0.0447004
3.52,0.714111,0.483962,0.497714,-1.58651,0.147879
3.525,-0.354004,0.230635,0.180496,-1.7825,0.348224
3.53,-1.22681,-0.0483072,-0.199587,-1.98821,0.54917
3.535,-1.37329,-0.321917,-0.457985,-2.20336,0.743237
3.54,-1.30615,-0.559525,-0.494443,-2.42762,0.922923
3.545,-1.74561,-0.734728,-0.343321,-2.66058,1.08098
3.55,-2.03857,-0.828895,-0.130701,-2.90179,1.21062
3.555,-2.11792,-0.833541,0.024227,-3.15073,1.30598
3.56,-1.95923,-0.751249,0.0884716,-3.40679,1.36221
3.565,-1.95923,-0.595234,0.117095,-3.66934,1.37576
3.57,-2.01416,-0.387447,0.182766,-3.93767,1.34453
3.575,-2.11792,-0.15543,0.293684,-4.21105,1.26802
3.58,-2.38647,0.0715728,0.370186,-4.48868,1.14734
3.585,-2.97852,0.266799,0.304491,-4.76973,0.985208
3.59,-3.50952,0.40946,0.0598743,-5.05335,0.785909
3.595,-3.94897,0.487353,-0.271923,-5.33862,0.555174
3.6,-4.77295,0.498168,-0.508579,-5.6246,0.299957
3.605,-5.65186,0.449285,-0.493543,-5.91034,0.0282743
3.61,-6.33545,0.356161,-0.212825,-6.19486,-0.25104
3.615,-6.37817,0.239595,0.177025,-6.47716,-0.528731
3.62,-6.48804,0.122285,0.438491,-6.75626,-0.795445
3.625,-7.17163,0.0248159,0.408494,-7.03114,-1.04206
3.63,-8.30078,-0.0376127,0.112533,-7.30083,-1.26005
3.635,-9.24683,-0.0575702,-0.244326,-7.56436,-1.44184
3.64,-10.0281,-0.0364023,-0.410478,-7.82076,-1.58098
3.645,-10.26,0.0160981,-0.259964,-8.06907,-1.67243
3.65,-9.92432,0.0835077,0.115418,-8.30838,-1.71272
3.655,-10.0159,0.14588,0.46164,-8.5378,-1.70007
3.66,-10.553,0.183277,0.531373,-8.75649,-1.63457
3.665,-11.2671,0.179375,0.25394,-8.96363,-1.51803
3.67,-11.6821,0.124576,-0.21067,-9.15847,-1.35406
3.675,-11.8958,0.0184021,-0.574353,-9.3403,-1.14778
3.68,-12.1948,-0.129654,-0.611175,-9.50848,-0.905815
