Time,EEG,State
83.465,-15.9912,0
83.47,-16.2048,0
83.475,-17.2607,0
83.48,-18.0176,0
83.485,-17.0227,0
83.49,-15.0757,0
83.495,-14.1418,0
83.5,-15.1794,0
83.505,-15.8447,0
83.51,-15.5334,0
83.515,-14.3555,0
83.52,-13.3728,0
83.525,-13.7756,0
83.53,-13.3667,0
83.535,-12.3291,0
83.54,-10.5713,0
83.545,-9.34448,0
83.55,-9.59473,0
83.555,-11.0229,0
83.56,-13.4033,0
83.565,-14.8926,0
83.57,-15.448,0
83.575,-14.624,0
83.58,-13.1226,0
83.585,-9.21021,0
83.59,-7.92847,0
83.595,-11.6394,0
83.6,-12.7502,0
83.605,-18.8599,0
83.61,-23.5107,0
83.615,-26.0498,0
83.62,-28.9307,0
83.625,-33.8623,0
83.63,-39.0442,0
83.635,-41.7847,0
83.64,-43.6462,0
83.645,-40.9058,0
83.65,-37.1216,0
83.655,-36.0229,0
83.66,-37.616,0
83.665,-38.7817,0
83.67,-37.7808,0
83.675,-33.7646,0
83.68,-28.8452,0
83.685,-26.8982,0
83.69,-27.9297,0
83.695,-28.8818,0
83.7,-29.6692,0
83.705,-30.658,0
83.71,-31.2012,0
83.715,-30.8289,0
83.72,-30.6396,0
83.725,-29.7974,0
83.73,-28.4363,0
83.735,-27.4353,0
83.74,-28.1616,0
83.745,-29.2053,0
83.75,-29.657,0
83.755,-30.1636,0
83.76,-30.3467,0
83.765,-28.7354,0
83.77,-26.1169,0
83.775,-24.1333,0
83.78,-22.644,0
83.785,-21.7285,0
83.79,-22.9675,0
83.795,-24.9084,0
83.8,-26.7944,0
83.805,-26.9653,0
83.81,-25.5493,0
83.815,-24.884,0
83.82,-26.123,0
83.825,-28.4424,0
83.83,-29.9927,0
83.835,-31.3965,0
83.84,-32.1411,0
83.845,-31.8909,0
83.85,-30.1086,0
83.855,-26.6846,0
83.86,-22.9126,0
83.865,-23.7305,0
83.87,-25.4211,0
83.875,-22.76,0
83.88,-21.5576,0
83.885,-20.1843,0
83.89,-17.9871,0
83.895,-15.4846,0
83.9,-9.11865,0
83.905,-2.71606,0
83.91,1.51978,0
83.915,2.49023,0
83.92,-0.439453,0
83.925,-3.32031,0
83.93,-4.63257,0
83.935,-5.70068,0
83.94,-6.81763,0
83.945,-7.74536,0
83.95,-10.199,0
83.955,-11.731,0
83.96,-11.9019,0
83.965,-11.1938,0
83.97,-9.11255,0
83.975,-9.29565,0
83.98,-10.3821,0
83.985,-10.8093,0
83.99,-11.145,0
83.995,-10.5713,0
84,-9.00879,0
84.005,-6.95801,0
84.01,-6.49414,0
84.015,-8.20923,0
84.02,-9.71069,0
84.025,-10.7239,0
84.03,-12.7869,0
84.035,-14.0808,0
84.04,-13.6047,0
84.045,-13.5193,0
84.05,-12.207,0
84.055,-9.36279,0
84.06,-6.97632,0
84.065,-5.18799,0
84.07,-7.00073,0
84.075,-12.7808,0
84.08,-13.0005,0
84.085,-8.24585,0
84.09,-6.69556,0
84.095,-6.75049,0
84.1,-8.39844,0
84.105,-11.5417,0
84.11,-11.6394,0
84.115,-10.2783,0
84.12,-11.1389,0
84.125,-12.5916,0
84.13,-10.7849,0
84.135,-7.20825,0
84.14,-6.21948,0
84.145,-7.14722,0
84.15,-8.08716,0
84.155,-8.10547,0
84.16,-8.17871,0
84.165,-9.35669,0
84.17,-9.98535,0
84.175,-8.5083,0
84.18,-8.06274,0
84.185,-8.00171,0
84.19,-7.80029,0
84.195,-8.48389,0
84.2,-10.8154,0
84.205,-11.438,0
84.21,-12.2864,0
84.215,-13.5254,0
84.22,-14.1174,0
84.225,-14.7156,0
84.23,-15.8447,0
84.235,-17.2791,0
84.24,-19.0979,0
84.245,-20.7336,0
84.25,-21.4172,0
84.255,-20.3796,0
84.26,-18.9392,0
84.265,-16.9617,0
84.27,-17.3279,0
84.275,-19.8181,0
84.28,-22.052,0
84.285,-21.0205,0
84.29,-19.397,0
84.295,-15.2161,0
84.3,-13.1775,0
84.305,-13.9648,0
84.31,-16.8152,0
84.315,-18.8843,0
84.32,-19.3115,0
84.325,-17.4561,0
84.33,-13.916,0
84.335,-11.5112,0
84.34,-11.9385,0
84.345,-15.564,0
84.35,-18.219,0
84.355,-18.0603,0
84.36,-15.9119,0
84.365,-13.1042,0
84.37,-11.145,0
84.375,-11.1572,0
84.38,-12.97,0
84.385,-15.3442,0
84.39,-16.8396,0
84.395,-16.4001,0
84.4,-11.8347,0
84.405,-6.70166,0
84.41,-6.48193,0
84.415,-11.2488,0
84.42,-18.0054,0
84.425,-18.0298,0
84.43,-13.6414,0
84.435,-9.8999,0
84.44,-9.39331,0
84.445,-12.0605,0
84.45,-15.5518,0
84.455,-15.1184,0
84.46,-13.6963,0
84.465,-14.2334,0
