EEG,sec
-0.004584967785853516,33.252
-0.004772079562388672,33.256
-0.0046909400675175785,33.26
-0.004472647532515625,33.264
-0.004428474264666016,33.268
-0.004601335800125,33.272
-0.004765538579705078,33.276
-0.004679568947851562,33.28
-0.004468944832640626,33.284
-0.004430276511046875,33.288
-0.00462252520025,33.292
-0.004771846685125,33.296
-0.004662196012277344,33.3
-0.004463543441410156,33.304
-0.004427022063441407,33.308
-0.004618264858994141,33.312
-0.00476564456559961,33.316
-0.004661735119488281,33.32
-0.004452769829378906,33.324
-0.004442239790435547,33.328
-0.0046303535712304686,33.332
-0.004767643712380859,33.336
-0.0046480415474453125,33.34
-0.0044370469677773436,33.344
-0.0044449555574394535,33.348
-0.0046375902686621095,33.352
-0.004770834471214844,33.356
-0.004637673890560547,33.36
-0.004433811480951172,33.364
-0.004443375978671876,33.368
-0.004638017129283203,33.372
-0.00475912594691211,33.376
-0.0046370229038046875,33.38
-0.004441869812152344,33.384
-0.004459887900396485,33.388
-0.004652487607103516,33.392
-0.004787641014279297,33.396
-0.004640072186054688,33.4
-0.0044318721335507814,33.404
-0.004467132376609375,33.408
-0.004675653303839844,33.412
-0.004786067755771484,33.416
-0.004652856613039063,33.42
-0.004434654020195313,33.424
-0.004477142209556641,33.428
-0.0046831885120019534,33.432
-0.004780776726,33.436
-0.00462847596790625,33.44
-0.004448852726845703,33.444
-0.004490255290048828,33.448
-0.004704765392667969,33.452
-0.004785222299484375,33.456
-0.004620228028912109,33.46
-0.004419419763291015,33.464
-0.004493229701529297,33.468
-0.004698847684832031,33.472
-0.004776808575214844,33.476
-0.004609634787371094,33.48
-0.0044120143635410156,33.484
-0.004486313878824219,33.488
-0.004698598277658204,33.492
-0.004763906980337891,33.496
-0.004595871206296875,33.5
-0.004417366651214844,33.504
-0.0044941018973769535,33.508
-0.004715398986636719,33.512
-0.004746457229298828,33.516
-0.004579191554601562,33.52
-0.004397658136570313,33.524
-0.004496754461783203,33.528
-0.004707901213859375,33.532
-0.004765520591273438,33.536
-0.004565379356144531,33.54
-0.004389643561013672,33.544
-0.004503031938251953,33.548
-0.004714783490570313,33.552
-0.0047414627655625,33.556
-0.004550036682476563,33.56
-0.004382616404501953,33.564
-0.004497320368119141,33.568
-0.004719517851308594,33.572
-0.004727156128322266,33.576
-0.004550518480740235,33.58
-0.0043931688074414065,33.584
-0.004518590959273438,33.588
-0.004733820112984375,33.592
-0.004750705902382813,33.596
-0.004549160597238281,33.6
-0.004391855651931641,33.604
-0.004516934565041016,33.608
-0.004739211294564454,33.612
-0.004732620235976563,33.616
-0.004546486641183594,33.62
-0.004395713927431641,33.624
-0.004531030202839844,33.628
-0.004746292902544922,33.632
-0.004725755461523437,33.636
-0.004524708484552734,33.64
-0.004419892810425781,33.644
-0.004545765645396485,33.648
-0.004750863908876953,33.652
-0.004720119734507812,33.656
-0.004515285463416016,33.66
-0.004404340109664063,33.664
-0.004546206118884765,33.668
-0.004761634117691407,33.672
