sec,EEG
65.73,3.8208
65.735,2.69775
65.74,1.67236
65.745,2.57568
65.75,6.03638
65.755,3.9978
65.76,0.88501
65.765,-0.115967
65.77,-2.63062
65.775,-2.30713
65.78,-1.01929
65.785,-0.708008
65.79,-0.256348
65.795,-1.08032
65.8,-2.47192
65.805,-3.28979
65.81,-3.9856
65.815,-4.52881
65.82,-5.82275
65.825,-7.1228
65.83,-4.72412
65.835,-2.69165
65.84,-2.64893
65.845,-3.6377
65.85,-4.36401
65.855,-3.54614
65.86,-2.24609
65.865,-1.27563
65.87,-0.927734
65.875,0.878906
65.88,3.94287
65.885,6.17065
65.89,10.9558
65.895,14.2029
65.9,18.9209
65.905,25.7141
65.91,31.5613
65.915,38.7695
65.92,41.217
65.925,42.0044
65.93,40.2588
65.935,39.6301
65.94,40.8875
65.945,42.6514
65.95,41.4429
65.955,37.0911
65.96,33.5022
65.965,31.1707
65.97,24.7498
65.975,13.3362
65.98,5.64575
65.985,-1.36108
65.99,-3.96729
65.995,-5.45654
66,-8.5144
66.005,-13.324
66.01,-15.9424
66.015,-15.9546
66.02,-15.4846
66.025,-15.0391
66.03,-19.3481
66.035,-25.7141
66.04,-29.5349
66.045,-32.5989
66.05,-32.7209
66.055,-26.8677
66.06,-20.8679
66.065,-25.4822
66.07,-29.6387
66.075,-29.9622
66.08,-29.9927
66.085,-27.2888
66.09,-23.822
66.095,-24.1821
66.1,-23.3154
66.105,-20.2332
66.11,-21.9238
66.115,-22.76
66.12,-20.8496
66.125,-20.5933
66.13,-20.9839
66.135,-20.5872
66.14,-21.7285
66.145,-21.4844
66.15,-16.8518
66.155,-17.395
66.16,-23.2666
66.165,-24.7986
66.17,-21.4966
66.175,-19.3054
66.18,-19.281
66.185,-20.3979
66.19,-21.5637
66.195,-20.3491
66.2,-17.218
66.205,-12.9028
66.21,-12.8601
66.215,-16.5833
66.22,-21.5271
66.225,-27.7954
66.23,-27.9297
66.235,-20.9534
66.24,-15.8997
66.245,-14.6301
66.25,-14.0503
66.255,-13.6597
66.26,-19.1406
66.265,-21.051
66.27,-19.6289
66.275,-19.1101
66.28,-17.1387
66.285,-15.3198
66.29,-17.5476
66.295,-17.9016
66.3,-14.624
66.305,-9.35669
66.31,-5.81055
66.315,-5.51758
66.32,-7.04956
66.325,-11.615
66.33,-15.3015
66.335,-14.7888
66.34,-12.9517
66.345,-13.2751
66.35,-16.4368
66.355,-19.1895
66.36,-18.4692
66.365,-16.7725
66.37,-18.0664
66.375,-20.9045
66.38,-23.6633
66.385,-22.0764
66.39,-15.9546
66.395,-12.5854
66.4,-14.7766
66.405,-18.0054
66.41,-20.6665
66.415,-21.7163
66.42,-18.9575
66.425,-15.155
66.43,-13.7817
66.435,-13.5925
66.44,-14.2273
66.445,-17.9626
66.45,-20.7642
66.455,-21.1975
66.46,-18.5059
66.465,-15.3503
66.47,-12.4939
66.475,-13.5864
66.48,-14.9841
66.485,-13.8
66.49,-12.2742
66.495,-10.3333
66.5,-8.74634
66.505,-10.675
66.51,-12.1582
66.515,-12.6831
66.52,-12.7136
66.525,-11.1694
66.53,-8.39844
66.535,-8.38623
66.54,-9.7168
66.545,-13.0554
66.55,-16.7175
66.555,-14.8926
66.56,-8.88062
66.565,-5.87769
66.57,-7.48291
66.575,-10.1624
66.58,-12.616
66.585,-12.5488
66.59,-9.22852
66.595,-9.06372
66.6,-11.145
66.605,-10.5652
66.61,-9.61914
66.615,-9.79004
66.62,-9.3689
66.625,-7.02515
66.63,-10.7178
66.635,-11.6699
66.64,-11.7859
66.645,-12.0728
66.65,-11.969
66.655,-11.6577
66.66,-10.4858
66.665,-11.084
66.67,-9.11255
66.675,-7.44629
66.68,-9.94873
66.685,-14.917
66.69,-16.3757
66.695,-15.2893
66.7,-9.10034
66.705,-0.634766
66.71,-1.60522
66.715,-6.18896
66.72,-8.34351
66.725,-8.3252
66.73,-8.54492
66.735,-6.97632
66.74,-4.81567
66.745,-4.37622
66.75,-2.44141
66.755,-1.58081
66.76,-8.23975
66.765,-11.7493
66.77,-10.4187
66.775,-6.20117
66.78,0.45166
66.785,-0.738525
66.79,-4.82178
66.795,-4.57153
66.8,-2.75879
66.805,-1.82495
66.81,-0.799561
66.815,-2.93579
66.82,-5.07813
66.825,-3.83911
66.83,-1.93481
66.835,-2.58789
66.84,-2.4353
66.845,-1.76392
66.85,-3.54614
66.855,-5.46875
66.86,-5.9021
66.865,-5.43213
66.87,-5.56641
66.875,-5.18799
66.88,-5.91431
66.885,-5.63354
66.89,-3.16162
66.895,-3.8269
66.9,-6.95801
66.905,-8.26416
66.91,-7.13501
66.915,-5.65796
66.92,-7.75757
66.925,-10.2905
66.93,-9.08813
66.935,-6.18286
66.94,-4.58374
66.945,-0.897217
66.95,-2.35596
66.955,-4.44336
66.96,-9.60083
66.965,-12.6648
66.97,-4.11987
66.975,-4.22363
