sec,EEG,alpha,beta,delta,theta 
3.72,10.8704,-0.334042,-0.406512,7.97213,1.87757
3.725,10.4248,-0.133174,0.0124288,6.9481,2.21225
3.73,10.7239,0.0986141,0.421928,5.86857,2.49771
3.735,11.1633,0.334044,0.617807,4.73598,2.72579
3.74,10.4065,0.543771,0.502005,3.5531,2.88974
3.745,8.55713,0.700008,0.143637,2.32289,2.98481
3.75,7.06787,0.780418,-0.253324,1.04855,3.00808
3.755,5.65796,0.771656,-0.465434,-0.266484,2.95836
3.76,4.1748,0.671308,-0.380182,-1.61859,2.83661
3.765,2.56348,0.488392,-0.0618448,-3.00396,2.64593
3.77,0.836182,0.242729,0.289976,-4.41867,2.39142
3.775,-1.00098,-0.0371362,0.463892,-5.85865,2.07984
3.78,-3.58276,-0.317567,0.366355,-7.31975,1.71944
3.785,-6.66504,-0.564353,0.0730497,-8.79774,1.3198
3.79,-9.06372,-0.746952,-0.229554,-10.2884,0.891659
3.795,-11.1633,-0.842355,-0.368716,-11.7873,0.446393
3.8,-13.8489,-0.83831,-0.29012,-13.2902,-0.00437925
3.805,-16.1133,-0.73519,-0.0767479,-14.7929,-0.448969
3.81,-17.5476,-0.54606,0.122605,-16.2911,-0.875973
3.815,-18.7317,-0.294796,0.197332,-17.7805,-1.27486
3.82,-21.0327,-0.0128175,0.140449,-19.2572,-1.63611
3.825,-23.7,0.264719,0.0350265,-20.7171,-1.95128
3.83,-25.1587,0.503599,-0.0198478,-22.1564,-2.21337
3.835,-26.2695,0.675325,0.0162364,-23.5714,-2.41721
3.84,-27.7771,0.760598,0.103028,-24.9585,-2.55943
3.845,-29.3518,0.751468,0.157969,-26.3145,-2.63834
3.85,-31.2317,0.652395,0.119989,-27.6361,-2.654
3.855,-33.2642,0.479447,-0.00625954,-28.9205,-2.60825
3.86,-34.9121,0.257883,-0.154037,-30.1648,-2.5046
3.865,-36.0962,0.0182433,-0.236418,-31.3667,-2.3478
3.87,-37.0361,-0.207808,-0.197147,-32.5238,-2.14383
3.875,-37.7625,-0.391672,-0.0414445,-33.6342,-1.89975
3.88,-39.0198,-0.511714,0.166733,-34.696,-1.62341
3.885,-40.1611,-0.556179,0.332546,-35.7079,-1.32312
3.89,-40.3992,-0.524261,0.369109,-36.6686,-1.0073
3.895,-40.2161,-0.425537,0.234935,-37.5771,-0.684271
3.9,-40.686,-0.278249,-0.0390294,-38.4326,-0.362043
3.905,-41.8457,-0.106632,-0.345757,-39.2347,-0.0479324
3.91,-42.1875,0.0628615,-0.536833,-39.9832,0.251496
3.915,-41.8152,0.20575,-0.491268,-40.678,0.530245
3.92,-41.7725,0.30303,-0.190015,-41.3195,0.783263
3.925,-41.8762,0.343575,0.251658,-41.9079,1.00675
3.93,-41.2781,0.32566,0.626389,-42.4441,1.19804
3.935,-41.0339,0.256837,0.740745,-42.929,1.35536
3.94,-41.8945,0.152217,0.529659,-43.3635,1.47793
3.945,-42.8711,0.0316889,0.102223,-43.7489,1.56599
3.95,-43.2617,-0.0831474,-0.318079,-44.0867,1.62064
3.955,-43.2434,-0.172408,-0.527345,-44.3783,1.64351
3.96,-43.3594,-0.221087,-0.462693,-44.6255,1.63676
3.965,-43.2678,-0.22159,-0.229657,-44.8301,1.60301
3.97,-42.9199,-0.174707,-0.0162828,-44.994,1.54518
3.975,-42.4255,-0.0892259,0.0454057,-45.1192,1.4662
3.98,-42.45,0.0196643,-0.0276136,-45.2077,1.36896
3.985,-42.5659,0.132627,-0.0929495,-45.2616,1.25639
3.99,-42.1387,0.22928,-0.00659091,-45.283,1.13141
3.995,-41.2354,0.291659,0.248059,-45.2743,0.996618
4,-41.3635,0.307172,0.527638,-45.2374,0.85423
4.005,-41.8396,0.270519,0.623668,-45.1746,0.706356
4.01,-41.98,0.184693,0.418219,-45.088,0.554924
4.015,-41.7542,0.0608459,-0.015297,-44.9798,0.401487
4.02,-42.3218,-0.0834092,-0.445658,-44.8519,0.247386
